Table	A	B	Only.A	Both	Only.B
all.uniqgene.gene	40	75	5585	18107	5286
all.uniqgene.gene	45	75	4645	18292	5101
all.uniqgene.gene	50	75	3062	18723	4670
all.uniqgene.gene	55	75	3644	19872	3521
all.uniqgene.gene	60	75	1455	20386	3007
all.uniqgene.gene	65	75	591	20962	2431
all.uniqgene.gene	70	75	545	22742	651
all.uniqgene.gene	74	75	0	23393	0
all.uniqgene.id	40	75	10150	13542	9851
all.uniqgene.id	45	75	7507	15430	7963
all.uniqgene.id	50	75	5242	16543	6850
all.uniqgene.id	55	75	5927	17589	5804
all.uniqgene.id	60	75	3449	18392	5001
all.uniqgene.id	65	75	1463	20090	3303
all.uniqgene.id	70	75	705	22582	811
all.uniqgene.id	74	75	0	23393	0
all.uniqgene.seq	40	75	10447	13245	10148
all.uniqgene.seq	45	75	9275	13662	9731
all.uniqgene.seq	50	75	6591	15194	8199
all.uniqgene.seq	55	75	6303	17213	6180
all.uniqgene.seq	60	75	4098	17743	5650
all.uniqgene.seq	65	75	1713	19840	3553
all.uniqgene.seq	70	75	828	22459	934
all.uniqgene.seq	74	75	160	23233	160
all.uniqgene.uniqtag1	40	75	2184	21508	1885
all.uniqgene.uniqtag1	45	75	1405	21532	1861
all.uniqgene.uniqtag1	50	75	1203	20582	2811
all.uniqgene.uniqtag1	55	75	1690	21826	1567
all.uniqgene.uniqtag1	60	75	45	21796	1597
all.uniqgene.uniqtag1	65	75	0	21553	1840
all.uniqgene.uniqtag1	70	75	6	23281	112
all.uniqgene.uniqtag1	74	75	0	23393	0
all.uniqgene.uniqtag2	40	75	1498	22194	1199
all.uniqgene.uniqtag2	45	75	1035	21902	1491
all.uniqgene.uniqtag2	50	75	356	21429	1964
all.uniqgene.uniqtag2	55	75	1052	22464	929
all.uniqgene.uniqtag2	60	75	338	21503	1890
all.uniqgene.uniqtag2	65	75	266	21287	2106
all.uniqgene.uniqtag2	70	75	169	23118	275
all.uniqgene.uniqtag2	74	75	1	23392	1
all.uniqgene.uniqtag3	40	75	2975	20717	2676
all.uniqgene.uniqtag3	45	75	2396	20541	2852
all.uniqgene.uniqtag3	50	75	1603	20182	3211
all.uniqgene.uniqtag3	55	75	2363	21153	2240
all.uniqgene.uniqtag3	60	75	1249	20592	2801
all.uniqgene.uniqtag3	65	75	737	20816	2577
all.uniqgene.uniqtag3	70	75	677	22610	783
all.uniqgene.uniqtag3	74	75	1	23392	1
all.uniqgene.uniqtag4	40	75	8414	15278	8115
all.uniqgene.uniqtag4	45	75	7440	15497	7896
all.uniqgene.uniqtag4	50	75	5935	15850	7543
all.uniqgene.uniqtag4	55	75	6634	16882	6511
all.uniqgene.uniqtag4	60	75	4714	17127	6266
all.uniqgene.uniqtag4	65	75	3078	18475	4918
all.uniqgene.uniqtag4	70	75	1480	21807	1586
all.uniqgene.uniqtag4	74	75	7	23386	7
all.uniqgene.uniqtag5	40	75	10623	13069	10324
